name,display_name,freq,final_equity,total_return,max_drawdown,win_rate,num_trades,winning_trades,avg_return,error
dual_ma,双均线策略,日线,106956.29733141475,6.956297331414753,-15.358488964207485,33.33333333333333,6.0,2.0,1.4903337254480606,
bollinger,布林带策略,日线,100759.91147999477,0.7599114799947712,-17.470179483920603,50.0,2.0,1.0,0.8401394011659944,
rsi,RSI均值回归,日线,114461.26321388377,14.461263213883765,-19.738083326798595,66.66666666666666,3.0,2.0,5.405506201383367,
macd,MACD趋势跟踪,日线,103205.66888626192,3.205668886261919,-21.461356653390016,44.44444444444444,9.0,4.0,0.5978170167760836,
kdj,KDJ超买超卖,日线,98880.54767646689,-1.1194523235331144,-20.21229537560297,0.0,0.0,0.0,0.0,
volume_price_divergence,量价背离,日线,97056.87539558132,-2.9431246044186845,-9.671344964345408,0.0,1.0,0.0,-3.8251221439874494,
vwap,VWAP,日线,95974.54209530173,-4.025457904698269,-21.565668435285904,66.66666666666666,3.0,2.0,-1.1105873120387537,
first_30min,早盘30分钟,日线,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,
last_30min,尾盘30分钟,日线,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,
limit_up,涨停板战法,日线,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,
limit_down_rebound,跌停板反弹,日线,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,
intraday_ma,分时均线做T,日线,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,
breakout_pullback,突破回踩,周线,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,
gap_fill,缺口回补,周线,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,
triple_confirmation,三重确认,周线,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,
multi_dimension,多维度确认,周线,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,
